state,county_id,county_name,icu_beds,population
Virginia,51179,Stafford,4,141159
North Carolina,37189,Watauga,10,53421
Michigan,26017,Bay,32,105350
North Carolina,37131,Northampton,0,20426
Florida,12053,Hernando,44,179144
North Carolina,37151,Randolph,12,142827
Oklahoma,40013,Bryan,8,45068
Louisiana,22061,Lincoln,17,47536
Kentucky,21119,Knott,0,15690
Michigan,26123,Newaygo,9,47899
Florida,12123,Taylor,6,22350
Iowa,19145,Page,2,15393
Minnesota,27009,Benton,0,39360
North Carolina,37087,Haywood,12,59854
Oklahoma,40103,Noble,0,11421
Idaho,16029,Caribou,0,6862
Nebraska,31181,Webster,0,3597
Virginia,51049,Cumberland,0,9797
Virginia,51650,Hampton City,24,136255
Georgia,13227,Pickens,6,30343
Minnesota,27147,Steele,0,36612
Iowa,19143,Osceola,0,6149
Texas,48409,San Patricio,0,66867
West Virginia,54089,Summers,0,13210
Virginia,51005,Alleghany,10,15489
North Carolina,37089,Henderson,27,112156
Missouri,29101,Johnson,0,53941
Virginia,51720,Norton City,11,4043
Texas,48071,Chambers,0,39283
Kentucky,21023,Bracken,0,8330
Wisconsin,55063,La Crosse,52,117582
South Dakota,46055,Haakon,0,2084
Minnesota,27159,Wadena,2,13626
Alabama,01083,Limestone,10,91695
New York,36025,Delaware,0,45950
Mississippi,28117,Prentiss,11,25389
California,06027,Inyo,4,18195
Florida,12115,Sarasota,118,404839
North Carolina,37005,Alleghany,0,10935
Texas,48353,Nolan,5,14990
Tennessee,47055,Giles,6,29024
Florida,12073,Leon,60,285890
Oklahoma,40101,Muskogee,24,69471
Colorado,08037,Eagle,5,53726
Oklahoma,40115,Ottawa,9,31725
Nebraska,31105,Kimball,0,3688
Mississippi,28077,Lawrence,0,12659
Nebraska,31155,Saunders,0,20953
Oregon,41059,Umatilla,3,76736
Kentucky,21239,Woodford,0,25817
Kentucky,21025,Breathitt,4,13276
Georgia,13171,Lamar,0,18282
Georgia,13149,Heard,0,11607
Texas,48347,Nacogdoches,27,65411
New Jersey,34017,Hudson,105,679756
Oregon,41005,Clackamas,54,399962
Alabama,01017,Chambers,0,33895
Colorado,08111,San Juan,0,569
North Carolina,37127,Nash,21,94125
South Dakota,46077,Kingsbury,0,5000
Arkansas,05077,Lee,0,9614
New York,36071,Orange,76,378174
Texas,48101,Cottle,0,1498
Texas,48115,Dawson,0,13095
Mississippi,28101,Newton,0,21437
Alabama,01121,Talladega,14,80888
Texas,48411,San Saba,0,5851
California,06091,Sierra,0,2885
Oregon,41069,Wheeler,0,1415
Texas,48489,Willacy,0,21839
South Dakota,46023,Charles Mix,0,9319
Texas,48435,Sutton,0,3894
Idaho,16083,Twin Falls,30,82248
Georgia,13049,Charlton,0,12963
North Carolina,37199,Yancey,0,17605
Montana,30027,Fergus,0,11327
North Carolina,37181,Vance,20,44420
Texas,48189,Hale,5,34527
Maryland,24005,Baltimore,123,828637
Ohio,39153,Summit,170,541318
New York,36017,Chenango,7,48763
Virginia,51157,Rappahannock,0,7359
Georgia,13101,Echols,0,4011
Texas,48329,Midland,48,159883
Arkansas,05127,Scott,0,10584
Virginia,51590,Danville City,34,41911
Texas,48401,Rusk,0,53026
Georgia,13179,Liberty,0,62120
North Carolina,37197,Yadkin,0,37825
Georgia,13257,Stephens,6,25625
Pennsylvania,42065,Jefferson,5,44258
Texas,48445,Terry,0,12755
Wisconsin,55055,Jefferson,4,84586
New York,36013,Chautauqua,26,130846
Iowa,19147,Palo Alto,0,9110
New York,36119,Westchester,179,975321
Ohio,39165,Warren,57,223868
New York,36047,Kings,318,2635121
Missouri,29125,Maries,0,8959
North Dakota,38035,Grand Forks,26,70130
Minnesota,27067,Kandiyohi,8,42577
Colorado,08123,Weld,26,285729
Indiana,18041,Fayette,20,23426
North Carolina,37119,Mecklenburg,173,1034290
Tennessee,47183,Weakley,6,33776
Michigan,26145,Saginaw,133,193803
Florida,12001,Alachua,210,259865
Texas,48421,Sherman,0,3067
Missouri,29117,Livingston,0,15025
Louisiana,22071,Orleans,111,388182
Oklahoma,40063,Hughes,0,13519
Washington,53001,Adams,0,19261
Wisconsin,55141,Wood,27,73427
Arizona,04011,Greenlee,0,9368
Mississippi,28001,Adams,15,31583
Florida,12007,Bradford,0,26775
California,06033,Lake,8,64095
Tennessee,47109,McNairy,0,25945
Idaho,16069,Nez Perce,9,40014
Ohio,39007,Ashtabula,19,98622
Oklahoma,40107,Okfuskee,0,12160
Montana,30063,Missoula,32,114231
North Dakota,38105,Williams,0,32916
Michigan,26099,Macomb,122,864019
Alabama,01027,Clay,4,13407
Wisconsin,55101,Racine,33,195101
North Dakota,38085,Sioux,0,4420
Utah,49049,Utah,122,576496
New York,36045,Jefferson,10,116567
Georgia,13197,Marion,0,8558
Louisiana,22047,Iberville,0,33122
South Dakota,46003,Aurora,0,2739
North Carolina,37061,Duplin,9,59350
Texas,48179,Gray,8,22962
Michigan,26007,Alpena,9,28730
Texas,48391,Refugio,0,7293
Iowa,19139,Muscatine,5,42923
West Virginia,54055,Mercer,29,60963
Georgia,13117,Forsyth,24,211300
New Mexico,35013,Dona Ana,51,213849
Indiana,18095,Madison,21,129641
North Carolina,37069,Franklin,0,63866
Montana,30073,Pondera,0,6081
Missouri,29073,Gasconade,0,14769
Ohio,39083,Knox,12,60945
South Carolina,45003,Aiken,35,165707
Texas,48307,McCulloch,0,8145
Colorado,08017,Cheyenne,0,2127
Oregon,41035,Klamath,0,66018
Georgia,13087,Decatur,10,27023
Texas,48085,Collin,195,914075
New York,36035,Fulton,8,53955
Indiana,18183,Whitley,0,33481
Minnesota,27117,Pipestone,0,9229
Iowa,19037,Chickasaw,0,12140
Kansas,20131,Nemaha,0,10095
Oklahoma,40143,Tulsa,379,637123
Virginia,51145,Powhatan,0,28364
Montana,30007,Broadwater,0,5755
Texas,48223,Hopkins,10,35929
West Virginia,54043,Lincoln,0,21241
Iowa,19053,Decatur,0,8105
South Dakota,46049,Faulk,0,2327
Kentucky,21219,Todd,0,12377
Nebraska,31151,Saline,0,14325
West Virginia,54023,Grant,3,11673
New Mexico,35059,Union,0,4216
Wyoming,56019,Johnson,0,8562
New Mexico,35023,Hidalgo,0,4446
Wisconsin,55115,Shawano,0,41136
Wyoming,56035,Sublette,0,10037
Alabama,01119,Sumter,0,13084
Alaska,02060,Bristol Bay,0,917
Virginia,51053,Dinwiddie,0,28033
Texas,48041,Brazos,48,214231
Texas,48169,Garza,0,6739
Pennsylvania,42041,Cumberland,45,245801
Oklahoma,40095,Marshall,0,16226
Ohio,39077,Huron,12,58497
Tennessee,47163,Sullivan,103,156519
Oklahoma,40003,Alfalfa,0,5877
South Dakota,46039,Deuel,0,4282
Georgia,13027,Brooks,0,15629
Illinois,17135,Montgomery,0,29173
Nevada,32029,Storey,0,3891
Arizona,04027,Yuma,42,204281
Kansas,20033,Comanche,0,1741
Illinois,17001,Adams,25,66787
Georgia,13249,Schley,0,5168
Idaho,16049,Idaho,0,16275
Minnesota,27071,Koochiching,0,12776
South Carolina,45055,Kershaw,10,63734
Missouri,29003,Andrew,0,17358
Georgia,13079,Crawford,0,12385
Alabama,01055,Etowah,56,103132
Texas,48427,Starr,0,63420
Nebraska,31161,Sheridan,0,5241
Wisconsin,55023,Crawford,0,16313
Tennessee,47081,Hickman,0,24502
Texas,48031,Blanco,0,11089
Utah,49001,Beaver,0,6414
Michigan,26001,Alcona,0,10413
Indiana,18175,Washington,0,27807
Arkansas,05063,Independence,12,37097
Iowa,19179,Wapello,11,35321
Texas,48131,Duval,0,11434
Nebraska,31001,Adams,10,31564
Alabama,01075,Lamar,0,14021
Indiana,18149,Starke,1,22966
New York,36067,Onondaga,152,467669
Missouri,29029,Camden,18,44855
Nebraska,31117,McPherson,0,432
Wisconsin,55073,Marathon,52,135293
Texas,48155,Foard,0,1414
New York,36021,Columbia,9,61481
Utah,49045,Tooele,4,63357
South Dakota,46109,Roberts,0,10250
Georgia,13147,Hart,0,25535
Minnesota,27063,Jackson,0,10104
Nebraska,31171,Thomas,0,643
Missouri,29087,Holt,0,4499
Kentucky,21113,Jessamine,0,51667
Arkansas,05089,Marion,0,16374
Mississippi,28041,Greene,0,13801
Virginia,51690,Martinsville City,0,13256
Texas,48141,El Paso,203,834825
Arkansas,05073,Lafayette,0,7051
Nebraska,31159,Seward,0,17045
Texas,48093,Comanche,0,13492
Georgia,13261,Sumter,10,30687
Michigan,26161,Washtenaw,92,361509
Louisiana,22007,Assumption,0,22881
Texas,48459,Upshur,0,40506
Kansas,20121,Miami,0,32976
Minnesota,27165,Watonwan,0,10936
Kansas,20005,Atchison,4,16466
New York,36093,Schenectady,36,155239
Missouri,29079,Grundy,0,10111
Mississippi,28113,Pike,28,39763
West Virginia,54095,Tyler,0,8949
Michigan,26109,Menominee,0,23389
Tennessee,47089,Jefferson,6,52887
Louisiana,22013,Bienville,0,13806
Utah,49027,Millard,0,12651
Louisiana,22001,Acadia,4,62607
South Dakota,46065,Hughes,6,17572
Virginia,51840,Winchester City,48,27516
Kansas,20029,Cloud,0,9191
Missouri,29039,Cedar,0,13862
South Dakota,46035,Davison,8,19753
Michigan,26159,Van Buren,0,75190
Kansas,20059,Franklin,5,25599
Oregon,41003,Benton,12,88249
Texas,48429,Stephens,0,9365
North Dakota,38097,Traill,0,8050
Texas,48063,Camp,0,12670
California,06021,Glenn,0,27935
Kentucky,21191,Pendleton,0,14530
Minnesota,27039,Dodge,0,20485
Georgia,13109,Evans,0,10757
Indiana,18093,Lawrence,6,45669
Missouri,29177,Ray,0,22859
Georgia,13043,Candler,6,10894
Indiana,18153,Sullivan,4,20900
Virginia,51167,Russell,5,27725
North Dakota,38079,Rolette,0,14657
Illinois,17185,Wabash,4,11568
North Carolina,37013,Beaufort,8,47316
New York,36031,Essex,0,38233
South Dakota,46093,Meade,3,27066
Georgia,13219,Oconee,0,35972
Maryland,24043,Washington,48,149546
Kansas,20093,Kearny,0,3931
Ohio,39095,Lucas,251,433404
Arkansas,05135,Sharp,0,17041
North Carolina,37165,Scotland,8,35445
Louisiana,22063,Livingston,0,137096
Rhode Island,44009,Washington,17,126190
Ohio,39015,Brown,0,43799
Missouri,29033,Carroll,0,8909
Oregon,41023,Grant,0,7209
Ohio,39175,Wyandot,5,22190
Tennessee,47091,Johnson,0,17846
Oklahoma,40043,Dewey,0,4904
Illinois,17033,Crawford,0,19214
Mississippi,28035,Forrest,48,75835
Montana,30019,Daniels,0,1788
Washington,53021,Franklin,0,89124
Kentucky,21079,Garrard,0,17226
Georgia,13019,Berrien,0,19014
New Mexico,35001,Bernalillo,138,674855
South Carolina,45063,Lexington,55,281870
Wisconsin,55025,Dane,39,522837
Virginia,51099,King George,0,25564
Massachusetts,25005,Bristol,96,557016
Florida,12003,Baker,0,27537
Pennsylvania,42035,Clinton,10,39321
Illinois,17165,Saline,0,24430
Missouri,29057,Dade,0,7581
Florida,12097,Osceola,66,325168
Kentucky,21237,Wolfe,0,7251
Louisiana,22011,Beauregard,6,36598
Louisiana,22035,East Carroll,0,7318
Wisconsin,55119,Taylor,0,20344
Illinois,17199,Williamson,26,67477
Texas,48317,Martin,0,5547
Texas,48237,Jack,0,8839
Wisconsin,55093,Pierce,0,41226
Nebraska,31077,Greeley,0,2436
New York,36011,Cayuga,14,78319
Virginia,51770,Roanoke City,71,99572
Alaska,02122,Kenai Peninsula,6,57961
Oklahoma,40141,Tillman,0,7591
Missouri,29041,Chariton,0,7586
Maryland,24021,Frederick,18,246105
Ohio,39051,Fulton,7,42296
Michigan,26111,Midland,26,83489
North Carolina,37079,Greene,0,21059
Virginia,51141,Patrick,0,17958
Tennessee,47143,Rhea,3,32478
Iowa,19025,Calhoun,2,9814
Texas,48145,Falls,0,17289
Colorado,08071,Las Animas,0,14151
Texas,48203,Harrison,0,66606
Texas,48069,Castro,0,7891
Texas,48321,Matagorda,6,36744
New Mexico,35053,Socorro,0,17098
Indiana,18031,Decatur,0,26480
Virginia,51147,Prince Edward,8,22903
Texas,48345,Motley,0,1114
South Carolina,45051,Horry,100,310186
Texas,48245,Jefferson,88,254574
New Jersey,34009,Cape May,16,94549
North Dakota,38051,McIntosh,0,2680
Georgia,13279,Toombs,8,27160
Alaska,02110,Juneau,9,32434
Ohio,39043,Erie,18,75369
Texas,48271,Kinney,0,3631
Mississippi,28129,Smith,0,16114
New York,36069,Ontario,27,109491
Texas,48487,Wilbarger,0,12972
South Carolina,45021,Cherokee,12,56549
Washington,53005,Benton,44,190529
Nebraska,31177,Washington,0,20414
Colorado,08113,San Miguel,0,7804
Missouri,29113,Lincoln,4,54800
Illinois,17017,Cass,0,12880
Ohio,39065,Hardin,0,31576
Texas,48297,Live Oak,0,12043
Georgia,13167,Johnson,0,9800
Washington,53051,Pend Oreille,0,13066
South Carolina,45073,Oconee,12,75926
Tennessee,47005,Benton,0,16154
Virginia,51125,Nelson,0,14863
Pennsylvania,42053,Forest,0,7388
Maryland,24015,Cecil,5,102416
Mississippi,28093,Marshall,0,35981
Mississippi,28159,Winston,0,18482
Georgia,13211,Morgan,0,18013
Georgia,13175,Laurens,16,47451
Texas,48017,Bailey,0,7098
Texas,48121,Denton,81,781321
South Carolina,45019,Charleston,221,387847
Louisiana,22113,Vermilion,6,59841
Nebraska,31061,Franklin,0,3019
Texas,48165,Gaines,0,19889
Georgia,13213,Murray,0,39444
California,06109,Tuolumne,6,53899
Washington,53035,Kitsap,20,258903
Georgia,13163,Jefferson,0,15954
New Mexico,35045,San Juan,10,128221
Idaho,16003,Adams,0,3946
Kentucky,21163,Meade,0,28452
Idaho,16063,Lincoln,0,5296
Georgia,13223,Paulding,8,152399
Missouri,29211,Sullivan,0,6382
Indiana,18049,Fulton,4,20296
Iowa,19115,Louisa,0,11238
Colorado,08099,Prowers,0,12084
North Carolina,37159,Rowan,20,138940
Wyoming,56015,Goshen,0,13479
Louisiana,22105,Tangipahoa,64,128850
Michigan,26071,Iron,3,11291
Mississippi,28073,Lamar,17,60517
California,06019,Fresno,164,971616
Tennessee,47045,Dyer,10,37751
Georgia,13039,Camden,5,52252
Minnesota,27135,Roseau,0,15537
South Carolina,45081,Saluda,0,20228
Virginia,51510,Alexandria City,40,154710
Georgia,13009,Baldwin,12,45527
Texas,48249,Jim Wells,8,41318
Louisiana,22021,Caldwell,0,10000
Louisiana,22025,Catahoula,0,10044
Tennessee,47119,Maury,65,87606
Texas,48453,Travis,294,1176584
North Dakota,38039,Griggs,0,2276
Wisconsin,55033,Dunn,0,44260
Virginia,51117,Mecklenburg,10,30959
Kentucky,21203,Rockcastle,0,16815
Montana,30093,Silver Bow,11,34514
Iowa,19091,Humboldt,0,9586
Texas,48167,Galveston,26,321184
Arkansas,05095,Monroe,0,7420
Iowa,19033,Cerro Gordo,18,43134
Virginia,51195,Wise,8,39539
Georgia,13277,Tift,20,40531
Virginia,51001,Accomack,10,32840
Texas,48187,Guadalupe,9,150889
Kansas,20075,Hamilton,0,2621
Oklahoma,40083,Logan,0,45326
Ohio,39039,Defiance,8,38311
Arkansas,05147,Woodruff,0,6763
Virginia,51095,James City,26,73028
North Carolina,37063,Durham,148,300865
Utah,49053,Washington,32,155577
Mississippi,28043,Grenada,5,21379
West Virginia,54071,Pendleton,0,7138
Georgia,13131,Grady,4,25048
Oregon,41009,Columbia,0,50207
Tennessee,47013,Campbell,10,39824
Montana,30101,Toole,0,5031
Iowa,19105,Jones,0,20468
Nebraska,31075,Grant,0,682
Wisconsin,55003,Ashland,0,15779
Idaho,16087,Washington,0,9996
Nevada,32027,Pershing,0,6661
California,06073,San Diego,570,3283665
Texas,48013,Atascosa,6,48139
Oklahoma,40015,Caddo,0,29437
Georgia,13281,Towns,0,11173
Kentucky,21143,Lyon,0,8268
Kansas,20111,Lyon,6,33302
West Virginia,54011,Cabell,88,96100
Illinois,17021,Christian,0,33562
Michigan,26005,Allegan,0,114145
